,headline
0,Former N.F.L. Cheerleaders’ Settlement Offer: $1 and a Meeting With Goodell
1,E.P.A. to Unveil a New Rule. Its Effect: Less Science in Policymaking.
2,"The New Noma, Explained"
8,How a Bag of Texas Dirt  Became a Times Tradition
14,"Romney Failed to Win at Utah Convention, But Few Believe He’s Doomed"
17,"In Berlin, artists find a home"
25,My Life-Threatening Bout With E. Coli Food Poisoning
26,"Choosing Brexit, a Town Yearned for Its Seafaring Past, and Muddied Its Future"
30,"Years of Bizarre Behavior, but He Got Guns Back"
32,Hope in Arizona
36,"Paul Relents, And Pompeo Is Approved By Panel"
37,Making Change
38,"Long Overlooked, City Buses Get Some Love in Turnaround Push"
39,"Trump’s First State Dinner Nods to Traditions and Bucks Them, Too"
41,"For Trump and Kim, High Stakes and Mismatched Motives"
43,A Pope Given to Apologies Has Nothing for Indigenous Canada
45,"Craft Distillers, Facing Lower Taxes, Invest in Themselves"
46,"‘Avengers,’ the Most Lucrative Movie Franchise Ever, Is Wrapping Up. Why?"
48,What the Heck Is That?: UTNE
51,"Mirror, Mirror in Denial"
54,Patron Who Wrested Rifle Says He Was ‘Just Trying to Live’
55,"Richard Carranza: ‘As the Chancellor, I Ultimately Own Everything’"
57,"Helping Kids With A.D.H.D., and Their Families, Thrive"
58,The Debate Persists Over G.M.O. Foods
61,"What’s Going On in This Picture? | April 23, 2018"
62,Against All Odds
63,Shopping for Multilevel Coffee Tables
64,The Whisky Chronicles
65,Officials’ New Plan to Fix Subway: Let’s Use Unproven Technology
67,A Special Delivery In Britain: It’s a Prince
68,"Setting Tone for Post-Presidency, Obama Will Share Message of Tolerance"
71,How Do You Feel About Being Told to Smile?
74,"‘Billions’ Season 3, Episode 5 Recap: The Family We Choose"
75,‘Westworld’ Season 2 Premiere: Truth and Consequences
76,His Majesty of Magic
78,Public Servants Losing Foothold In Middle Class
87,Cuomo vs. de Blasio: One of the Country’s Ugliest Political Feuds
95,A Survival Bid  By Rosenstein  May Be Costly
96,The Opioid Crisis Foretold
97,The Business Deals That Could Imperil Trump
100,States Are Doing What Scott Pruitt Won’t
101,"Fake Pearls, Real Heart"
102,Fear Beyond Starbucks
103,Variety: Puns and Anagrams
104,E.P.A. Chief’s Ethics Woes Have Echoes in His Past
107,The House Next Door Is an Airbnb. Here’s What You Can Do About It.
108,Punch the Air
109,"Caution, Babies Voting"
110,Childbirth’s Dangers for Black Women
111,A Man Set Himself on Fire. We Barely Noticed.
112,Why Men Quit and Women Don’t
114,Here to Help; A Word on Phrasing: ‘Just Deserts’
115,It’s Curtains for ‘Gypsy’
116,Punching Bag  For President  Now Has Clout
118,Democratic Party Files a Lawsuit Alleging a Trump-Russia Conspiracy
122,‘Full-On Propaganda’ From Inside C.I.A. on Pick for Director
124,Two Twisting Towers Come to the Far West Side
125,"With Deal, Wells Fargo Will Pay Big Penalty"
128,A Familiar Place Becomes Home
132,Nobody Tells You How Long a Marriage Is
136,The Repetitive Insanity Along the Gaza Fence
137,Can It Happen Here?
138,North Korean Promise to Hault  Nuclear Testing
139,"Four Families, One Mission: Space"
140,Candidates Are Embracing the ‘S’ Word
